"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NTN1",0,1.85429183010745,0.276,0.022,0,"2","NTN1"
"ZIC1",0,1.82578095273102,0.472,0.153,0,"2","ZIC1"
"SLC22A23",0,1.82472805143891,0.386,0.116,0,"2","SLC22A23"
"WDR86",0,1.80992389741593,0.293,0.01,0,"2","WDR86"
"PRKCH",0,1.77762445618224,0.289,0.023,0,"2","PRKCH"
"USP53",0,1.77743353901956,0.44,0.165,0,"2","USP53"
"TNXB",0,1.76486428479169,0.28,0.028,0,"2","TNXB"
"GLCE",0,1.76270509254058,0.449,0.179,0,"2","GLCE"
"LDLRAD3",0,1.75282688515203,0.348,0.065,0,"2","LDLRAD3"
"SLC2A3",0,1.74817931373076,0.271,0.025,0,"2","SLC2A3"
"SORBS1",0,1.74234800242021,0.446,0.165,0,"2","SORBS1"
"MAP3K5",0,1.74028002175746,0.393,0.146,0,"2","MAP3K5"
"BCL6",0,1.72996889695479,0.365,0.078,0,"2","BCL6"
"LDB2",0,1.7186554728608,0.296,0.034,0,"2","LDB2"
"EGFR",0,1.71285132977765,0.404,0.152,0,"2","EGFR"
"DLG2",0,1.70966288175468,0.616,0.261,0,"2","DLG2"
"SLC9B2",0,1.70453840392265,0.294,0.034,0,"2","SLC9B2"
"FILIP1",0,1.70277396371047,0.262,0.02,0,"2","FILIP1"
"COL11A1",0,1.69413147645358,0.318,0.042,0,"2","COL11A1"
"ELL2",0,1.69106753490181,0.274,0.064,0,"2","ELL2"
"PLA2R1",0,1.67792243424161,0.316,0.032,0,"2","PLA2R1"
"KLF9",0,1.67482662002485,0.349,0.114,0,"2","KLF9"
"COL1A2",0,1.6598238427729,0.256,0.009,0,"2","COL1A2"
"LRFN5",0,1.65924360398245,0.276,0.025,0,"2","LRFN5"
"WBP1L",0,1.65588682130039,0.512,0.264,0,"2","WBP1L"
"MAST4",0,1.62495750741255,0.487,0.225,0,"2","MAST4"
"PLCB1",0,1.62263522578076,0.29,0.066,0,"2","PLCB1"
"SESTD1",0,1.61406842868382,0.361,0.094,0,"2","SESTD1"
"STAT3",0,1.60846432876862,0.542,0.292,0,"2","STAT3"
"IFITM3",0,1.60353429054956,0.263,0.052,0,"2","IFITM3"
"LINGO2",0,1.59369878194533,0.393,0.143,0,"2","LINGO2"
"TSC22D3",0,1.58555485371913,0.274,0.06,0,"2","TSC22D3"
"NTRK3",0,1.57932844424003,0.254,0.029,0,"2","NTRK3"
"MAP1B",0,1.57016976237205,0.283,0.06,0,"2","MAP1B"
"DUSP1",0,1.56922617420381,0.295,0.06,0,"2","DUSP1"
"C1S",0,1.5435562632669,0.278,0.049,0,"2","C1S"
"NCAM1",0,1.51741067630487,0.281,0.045,0,"2","NCAM1"
"PLD1",0,1.51142181427599,0.303,0.078,0,"2","PLD1"
"NEBL",0,1.50880950819482,0.489,0.202,0,"2","NEBL"
"MEG3",0,1.47599131738408,0.345,0.052,0,"2","MEG3"
"MPP6",0,1.44958134694098,0.251,0.025,0,"2","MPP6"
"AUTS2",0,1.42615585510311,0.507,0.227,0,"2","AUTS2"
"CLIC4",0,1.41547014700856,0.297,0.08,0,"2","CLIC4"
"MCC",0,1.40928037882147,0.263,0.053,0,"2","MCC"
"PITPNC1",0,1.39916764520834,0.815,0.735,0,"2","PITPNC1"
"ZFPM2",0,1.32676364152759,0.334,0.078,0,"2","ZFPM2"
"FMNL2",0,1.29746665642477,0.805,0.726,0,"2","FMNL2"
"PDE1A",0,1.27505375577219,0.29,0.051,0,"2","PDE1A"
"MALAT1",0,1.16379556561667,0.998,0.999,0,"2","MALAT1"
"PRKG1",0,1.15021708268026,0.81,0.707,0,"2","PRKG1"
"RHBDD2",6.14129138452541e-279,1.68837990623709,0.43,0.205,1.4809724173783e-274,"2","RHBDD2"
"SERPING1",2.5681139740961e-267,1.47563912875384,0.264,0.08,6.19300684853274e-263,"2","SERPING1"
"GSN",1.38306792732043e-263,1.61564759209557,0.383,0.164,3.33526830673321e-259,"2","GSN"
"FP236383.3",2.19374264028097e-263,0.924737112979143,0.911,0.868,5.29021037703757e-259,"2","FP236383.3"
"GASK1A",3.92113220549682e-263,1.42512120136078,0.291,0.098,9.45581031355558e-259,"2","GASK1A"
"MID1",2.0413479592145e-262,1.52508353955063,0.389,0.166,4.92271060364577e-258,"2","MID1"
"IL6ST",2.12325293725523e-257,1.37996501206511,0.367,0.153,5.12022445819098e-253,"2","IL6ST"
"SH3RF1",3.88535897241887e-238,1.45691937525332,0.35,0.148,9.36954316198811e-234,"2","SH3RF1"
"UACA",9.62638933770489e-238,1.43423562725309,0.488,0.278,2.32140378878753e-233,"2","UACA"
"ANKS1B",3.4108231612516e-232,0.934734982295628,0.311,0.111,8.22520005335824e-228,"2","ANKS1B"
"DPYD",4.40436152400858e-231,1.10612566482178,0.309,0.113,1.06211178151467e-226,"2","DPYD"
