"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ALMS1",3.37513521156161e-11,0.878245088336548,0.391,0.134,6.85354956059701e-07,"14","ALMS1"
"POMP5",3.64666331730323e-11,0.936758078271916,0.707,0.353,7.40491453211593e-07,"14","POMP"
"MCTS12",3.8256210915743e-11,1.07685037322804,0.37,0.123,7.76830618855077e-07,"14","MCTS1"
"PTEN5",3.87156770526706e-11,1.17629163133655,0.75,0.39,7.86160538231529e-07,"14","PTEN"
"ALG51",3.87840142825748e-11,0.734048648363025,0.38,0.124,7.87548194021964e-07,"14","ALG5"
"SRP143",3.89493429153214e-11,0.908589003686517,0.815,0.709,7.90905357238516e-07,"14","SRP14"
"Z93930.2",3.97486120815792e-11,1.39299841626921,0.272,0.077,8.07135316928548e-07,"14","Z93930.2"
"ARHGAP5",4.26675908741061e-11,1.2269890730532,0.435,0.16,8.66408100289599e-07,"14","ARHGAP5"
"NME11",4.48178318102399e-11,0.947521099448596,0.348,0.109,9.10070892738731e-07,"14","NME1"
"BRI33",4.69046203542742e-11,0.651020029415557,0.728,0.365,9.52445220913893e-07,"14","BRI3"
"TMEM14C3",4.76327873895367e-11,0.980108061829555,0.435,0.156,9.67231380731933e-07,"14","TMEM14C"
"ZNF7873",4.79953071142892e-11,1.02000322348219,0.37,0.123,9.74592706262756e-07,"14","ZNF787"
"CAPRIN13",4.9215643717133e-11,0.912277918096898,0.63,0.289,9.99372861320102e-07,"14","CAPRIN1"
"GTF3C3",4.92797987242235e-11,1.59250687548928,0.261,0.073,1.00067559289408e-06,"14","GTF3C3"
"MAD2L22",5.01672188484354e-11,1.1442865289679,0.37,0.126,1.01869554593633e-06,"14","MAD2L2"
"VIM5",5.01965628979684e-11,0.644708546524286,0.935,0.837,1.01929140620615e-06,"14","VIM"
"SGSM3",5.13651886674502e-11,1.0529180643867,0.424,0.149,1.04302152108124e-06,"14","SGSM3"
"ETF13",5.16205126402876e-11,1.05676604009268,0.598,0.257,1.04820612967368e-06,"14","ETF1"
"DHRS73",5.23007580046295e-11,0.969089155133248,0.707,0.351,1.06201919204201e-06,"14","DHRS7"
"CALM24",5.25805321007497e-11,0.831911175160533,0.848,0.638,1.06770028483782e-06,"14","CALM2"
"VPS361",5.26088461747724e-11,1.06508771350854,0.565,0.231,1.06827523042493e-06,"14","VPS36"
"HSPA53",5.32029637156288e-11,0.825563971701056,0.815,0.521,1.08033938120956e-06,"14","HSPA5"
"TMEM30A2",5.44302697130642e-11,0.816129635508358,0.554,0.226,1.10526105679348e-06,"14","TMEM30A"
"REEP56",5.59446171522526e-11,0.736320301281863,0.696,0.308,1.13601139589364e-06,"14","REEP5"
"ACADVL4",5.61226206012723e-11,1.05104409278501,0.674,0.337,1.13962593392944e-06,"14","ACADVL"
"PSMB24",5.71865621281269e-11,0.777457391365255,0.565,0.222,1.16123033057374e-06,"14","PSMB2"
"MAPKAPK33",5.78686011243597e-11,0.729705511949075,0.489,0.177,1.17507981443125e-06,"14","MAPKAPK3"
"AKAP92",5.82673699866484e-11,0.702948064823057,0.772,0.381,1.18317721494888e-06,"14","AKAP9"
"SUB13",5.86248087575978e-11,0.762142517225344,0.87,0.594,1.19043536663178e-06,"14","SUB1"
"DPP41",6.37081214127901e-11,0.966204477616135,0.304,0.09,1.29365711340812e-06,"14","DPP4"
"TUBGCP32",6.45935537026523e-11,0.915990362292238,0.413,0.147,1.31163670148606e-06,"14","TUBGCP3"
"LPXN3",6.68303221320397e-11,0.925811452142827,0.685,0.324,1.3570565212132e-06,"14","LPXN"
"COPE4",7.29113430877412e-11,0.815342177253365,0.783,0.437,1.48053773273967e-06,"14","COPE"
"TM7SF3",7.58825876728377e-11,0.617461717689627,0.348,0.109,1.54087182528464e-06,"14","TM7SF3"
"RIC13",7.64840603933005e-11,0.895169114397921,0.63,0.277,1.55308533034636e-06,"14","RIC1"
"EIF4EBP31",7.99675586661146e-11,1.37242702762821,0.25,0.07,1.62382124627412e-06,"14","EIF4EBP3"
"CHD1L1",8.28364411600118e-11,1.01302546482793,0.25,0.068,1.6820767741952e-06,"14","CHD1L"
"IDE",8.34513204737256e-11,1.02306943371898,0.283,0.082,1.69456251353947e-06,"14","IDE"
"TBC1D9B2",8.38342860802874e-11,1.08029750155415,0.413,0.153,1.70233901314632e-06,"14","TBC1D9B"
"LSM32",8.46605943686739e-11,0.892042630704293,0.543,0.223,1.71911802925029e-06,"14","LSM3"
"NEK6",8.88374957429513e-11,1.59171132331897,0.25,0.071,1.80393418855637e-06,"14","NEK6"
"BTBD1",8.88409405300082e-11,0.863642858933205,0.489,0.193,1.80400413840235e-06,"14","BTBD1"
