"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CYP4V2",1.58576919287879,-0.140488842536974,1.48118171360151,-0.0948491608064573,0.924434638177249,0.99961583089597
"AL357522.1",0.343440941907154,-0.140568437981649,2.70626105742996,-0.0519419357551345,0.958574959455876,0.99961583089597
"KCTD7",1.15134851826148,-0.140603896925281,1.34158468011208,-0.104804339979147,0.916531066212817,0.99961583089597
"HAGHL",0.406970957393524,-0.140700530002555,2.12669112606217,-0.0661593629080867,0.947250949558312,0.99961583089597
"TBC1D8B",0.406970957393524,-0.140700530002555,2.12669112606217,-0.0661593629080867,0.947250949558312,0.99961583089597
"SLC7A5",16.5752653582238,-0.140937464383822,0.714080204431772,-0.197369235989356,0.843538602209381,0.99961583089597
"OSCP1",0.116883170021128,-0.141017280426356,3.47951586201342,-0.0405278452574021,0.967672307967991,0.99961583089597
"AC096564.1",0.116883170021128,-0.141017280426356,3.47951586201342,-0.0405278452574021,0.967672307967991,0.99961583089597
"SEC24B-AS1",0.116883170021128,-0.141017280426356,3.47951586201342,-0.0405278452574021,0.967672307967991,0.99961583089597
"AC114956.3",0.116883170021128,-0.141017280426356,3.47951586201342,-0.0405278452574021,0.967672307967991,0.99961583089597
"B4GALT7",0.116883170021128,-0.141017280426356,3.47951586201342,-0.0405278452574021,0.967672307967991,0.99961583089597
"LINC00240",0.116883170021128,-0.141017280426356,3.47951586201342,-0.0405278452574021,0.967672307967991,0.99961583089597
"AC078846.1",0.116883170021128,-0.141017280426356,3.47951586201342,-0.0405278452574021,0.967672307967991,0.99961583089597
"ZBTB26",0.116883170021128,-0.141017280426356,3.47951586201342,-0.0405278452574021,0.967672307967991,0.99961583089597
"RASSF7",0.116883170021128,-0.141017280426356,3.47951586201342,-0.0405278452574021,0.967672307967991,0.99961583089597
"ERI2",0.116883170021128,-0.141017280426356,3.47951586201342,-0.0405278452574021,0.967672307967991,0.99961583089597
"AC007193.2",0.116883170021128,-0.141017280426356,3.47951586201342,-0.0405278452574021,0.967672307967991,0.99961583089597
"ANKRD13D",3.2787613254001,-0.141082195416267,0.965481083156495,-0.146126317622941,0.883821670948425,0.99961583089597
"TRIM56",2.83688140903147,-0.141488628705678,1.1480780502441,-0.123239555599548,0.901917403455722,0.99961583089597
"MRPS35",1.4177390711421,-0.141825655068012,1.29450863729396,-0.109559450576153,0.912758770752685,0.99961583089597
"L3MBTL4",9.90288751554638,-0.141867343716503,0.813758552921876,-0.174335917216618,0.861601473568811,0.99961583089597
"OCIAD1",5.45469345547495,-0.14189139778755,0.785300893137102,-0.180684116149067,0.856615527053396,0.99961583089597
"DNAJC9",1.26981080746504,-0.14198435334128,1.44856728344667,-0.0980170924497529,0.921918720910098,0.99961583089597
"KDSR",4.73271737855296,-0.142164587407818,0.783805263301229,-0.181377433993042,0.856071330169351,0.99961583089597
"KBTBD2",3.56452905310971,-0.142410585546475,1.02313804880578,-0.139190000521141,0.889300010015004,0.99961583089597
"CRISPLD2",3.51362877247223,-0.143406431586756,1.11200890123256,-0.128961586033892,0.897388044850234,0.99961583089597
"DHX57",2.16181533864853,-0.143420092597118,1.41793525490492,-0.101147137784324,0.91943365934806,0.99961583089597
"SNRNP200",1.82853845912339,-0.143610550680473,1.13006565152454,-0.127081599628067,0.898875814745628,0.99961583089597
"LAMTOR5-AS1",2.9496515089043,-0.144262562373231,1.05196028373674,-0.137136890625552,0.890922593417707,0.99961583089597
"GRSF1",1.4811863711166,-0.144639960917547,1.58887570288043,-0.0910328987065085,0.927466450187507,0.99961583089597
"C8orf37-AS1",0.612722724662754,-0.144843491874992,1.74258755498021,-0.0831197786653754,0.933756299164006,0.99961583089597
"PEX1",1.098398743479,-0.144945171774287,1.78215148052401,-0.0813315665690037,0.935178270645892,0.99961583089597
"ZNF827",1.3358871142922,-0.144946487943425,1.46949716954118,-0.0986367928756762,0.921426655962567,0.99961583089597
"CAPZB",12.3185238935824,-0.145180975753282,0.506471858128861,-0.286651614345657,0.774379089520425,0.99961583089597
"FOXP4",0.835213590796326,-0.145898284785583,1.68312467669244,-0.0866829931293578,0.930923495043839,0.99961583089597
"GABRB1",4.95673260901737,-0.146081132181899,1.23064242165153,-0.118703150169208,0.905510540722526,0.99961583089597
"GTDC1",6.28962428657549,-0.146256057250355,0.82274115840957,-0.177766793061722,0.858906127225781,0.99961583089597
"HIPK2",11.2037384426681,-0.146879649381933,0.555557415435815,-0.264382483791906,0.791485207397916,0.99961583089597
"CARHSP1",3.38109451613798,-0.146942689530275,0.931157670869779,-0.15780645332924,0.8746093133579,0.99961583089597
"ZSCAN5A",2.51145981091687,-0.147238230367897,1.17536155345968,-0.125270585833356,0.900309337824297,0.99961583089597
"TMEM250",0.332308197660132,-0.147376321928057,2.34218546272139,-0.0629225670954428,0.949828164506202,0.99961583089597
"SMG8",0.332308197660132,-0.147376321928057,2.34218546272139,-0.0629225670954428,0.949828164506202,0.99961583089597
"RPS15",5.55764626226604,-0.147436435569243,0.763721604233815,-0.193049973644722,0.846919830823863,0.99961583089597
"TYW3",0.30182893267356,-0.147706860961835,2.66561015436729,-0.0554120266685792,0.955810214663564,0.99961583089597
"IL17RC",0.30182893267356,-0.147706860961835,2.66561015436729,-0.0554120266685792,0.955810214663564,0.99961583089597
"RABEP2",0.30182893267356,-0.147706860961835,2.66561015436729,-0.0554120266685792,0.955810214663564,0.99961583089597
"RASD1",0.30182893267356,-0.147706860961835,2.66561015436729,-0.0554120266685792,0.955810214663564,0.99961583089597
"PGF",2.70858512503212,-0.148018241078592,1.25630689971768,-0.117820129071849,0.906210179941529,0.99961583089597
"ANKRA2",0.766433885008535,-0.148021138610207,1.60379269856292,-0.092294433528,0.926464110895904,0.99961583089597
"RBIS",0.766433885008535,-0.148021138610207,1.60379269856292,-0.092294433528,0.926464110895904,0.99961583089597
"HPCAL4",0.717222830913077,-0.148055479170772,1.82805641974658,-0.0809906508199005,0.935449387644378,0.99961583089597
"TOMM40",0.69641682629628,-0.148694328727279,1.61307424421444,-0.0921807097600103,0.926554464163482,0.99961583089597
